symbol,name,market,price,avg_amount,volume_ratio
336370,솔루스첨단소재,KOSPI,8110.0,2942207761.5,0.46186633586312764
083930,아바코,KOSDAQ,14710.0,2940524862.5,0.47878946667327943
001230,동국홀딩스,KOSPI,9680.0,2937987208.0,0.7742964296372126
067080,대화제약,KOSDAQ,14900.0,2934860985.0,0.5641740101447977
330860,네패스아크,KOSDAQ,17990.0,2933624248.0,0.3609717385903041
261260,미국달러선물인버스2X,KOSPI,4625.0,2931521238.25,1.7740668789167071
013520,화승코퍼레이션,KOSPI,2990.0,2919435241.0,0.1278038051229256
217770,원유선물인버스,KOSPI,1511.0,2915016203.05,1.8853110378953146
452430,사피엔반도체,KOSDAQ,36000.0,2913546957.5,1.0449197830414751
006345,대원전선우,KOSPI,4045.0,2903009566.0,0.10857249046603322
340450,지씨지놈,KOSDAQ,7520.0,2899026804.0,0.4014926600565005
304770,코스닥150,KOSPI,19605.0,2887868971.0,0.4286590326184988
009180,한솔로지스틱스,KOSPI,2915.0,2887348297.0,0.3672918602430707
476850,배당성장액티브,KOSPI,18340.0,2886391264.25,0.6146016120687735
033640,네패스,KOSDAQ,16740.0,2872965189.5,0.5662387490870217
466950,글로벌AI액티브,KOSPI,24875.0,2850164821.0,0.3751043913981488
126720,수산인더스트리,KOSPI,27400.0,2844929695.0,1.0333703101788463
117460,에너지화학,KOSPI,14835.0,2842993491.75,0.35092125390990664
063170,서울옥션,KOSDAQ,7990.0,2836932882.0,0.32435356590744086
469610,이노테크,KOSDAQ,20200.0,2814698524.0,0.5286672777209135
005810,풍산홀딩스,KOSPI,37850.0,2810395437.5,0.6802416490978864
433330,미국S,KOSPI,20715.0,2809816114.35,0.3409918023747381
069260,휴켐스,KOSPI,19090.0,2806664801.0,1.1079302256904962
001360,삼성제약,KOSPI,1811.0,2801914000.4,0.27180354998005696
096630,에스코넥,KOSDAQ,849.0,2785482097.8,0.13603057345561453
004960,한신공영,KOSPI,12750.0,2782009280.0,0.3654580600396426
211900,코리아배당성장,KOSPI,28255.0,2780654393.45,0.2725128125966425
473980,노머스,KOSDAQ,18260.0,2779855222.5,0.3860900072544806
061970,세미콘,KOSDAQ,4395.0,2775941831.25,0.23517647719194165
438330,우량회사채액티브,KOSPI,115265.0,2770496816.0,0.5365045285417991
090410,덕신이피씨,KOSDAQ,1231.0,2751046279.2,0.08173622699027139
086670,비엠티,KOSDAQ,13230.0,2748946436.0,0.28333837624190755
138360,앤로보틱스,KOSDAQ,1703.0,2745363332.2,0.31729352026255925
251970,펌텍코리아,KOSDAQ,45100.0,2727405352.5,0.6033491922090112
317330,덕산테코피아,KOSDAQ,16130.0,2718819941.0,0.4749378555565872
105630,한세실업,KOSPI,12230.0,2712626431.5,0.14622947238732006
377220,프롬바이오,KOSDAQ,1650.0,2694688119.55,12.853660279352278
484810,티엑스알로보틱스,KOSDAQ,16090.0,2690226897.5,0.35271140161187414
008970,동양철관,KOSPI,1720.0,2683953491.95,0.4721849279876071
217330,싸이토젠,KOSDAQ,4650.0,2679460144.5,0.2912919722902238
117680,철강,KOSPI,14680.0,2676753542.5,0.24835169174855604
086980,쇼박스,KOSDAQ,2785.0,2674246279.25,0.8229774725198178
006120,디스커버리,KOSPI,57200.0,2657893575.0,1.7541733761443914
251350,선진국,KOSPI,37160.0,2653208078.75,0.43294215642339406
051500,프레시웨이,KOSDAQ,31000.0,2646904097.5,1.1906154554073543
317450,명인제약,KOSPI,59300.0,2645881565.0,0.5817804161306693
095700,제넥신,KOSDAQ,4825.0,2642965514.25,0.27974657939219066
054920,한컴위드,KOSDAQ,4425.0,2642318758.75,0.4357127843642922
290660,네오펙트,KOSDAQ,998.0,2637280720.45,3.21298935747871
091220,은행,KOSPI,15275.0,2636701015.5,0.36109372342617874
015860,일진홀딩스,KOSPI,7280.0,2632810988.0,0.5473658787917821
139290,경기소비재,KOSPI,26325.0,2622689826.5,0.1618413606595138
102940,코오롱생명과학,KOSDAQ,62500.0,2620975465.0,2.540555890003294
253150,선물레버리지,KOSPI,150790.0,2613708859.5,0.1430341499467426
376270,파마,KOSDAQ,66100.0,2611514415.0,0.6146781553285618
359210,코스피TR,KOSPI,28630.0,2610288207.75,0.23873961272583138
456610,미국달러SOFR금리액티브,KOSPI,63835.0,2607599757.75,0.9710760873860701
190650,코리아에셋투자증권,KOSDAQ,8310.0,2597410616.5,0.09754021420367423
462870,시프트업,KOSPI,30000.0,2592707487.5,0.6731407327199022
480020,미국빅테크7,KOSPI,11920.0,2587183066.7,0.3267691069461512
004710,한솔테크닉스,KOSPI,4830.0,2578756211.0,1.2977276347988242
