symbol,name,market,strategy,score,price,volatility,returns_6m,max_dd,rsi,details
463680,미국S,KOSPI,배당성장,70,17750.0,23.0,8.07,-19.08,58.5,"['✅ 변동성 23.0% (매우 안정)', '❌ 변동 큼 (6M 8.1%)', '⚡ 거래 보통', '✅ 낙폭 작음 (-19.1%)', '✅ RSI 적정 (58.5)']"
463690,미국S,KOSPI,배당성장,70,19730.0,15.78,7.66,-15.91,68.2,"['✅ 변동성 15.8% (매우 안정)', '✅ 꾸준한 성장 (6M 7.7%)', '✅ 낙폭 작음 (-15.9%)']"
469060,미국반도체NYSE,KOSPI,배당성장,70,24080.0,35.12,41.87,-28.0,46.0,"['⚡ 변동성 35.1% (안정)', '✅ 꾸준한 성장 (6M 41.9%)', '⚡ 낙폭 보통 (-28.0%)', '✅ RSI 적정 (46.0)']"
469160,일본반도체,KOSPI,배당성장,70,21280.0,36.99,62.69,-23.28,46.0,"['⚡ 변동성 37.0% (안정)', '✅ 꾸준한 성장 (6M 62.7%)', '⚡ 낙폭 보통 (-23.3%)', '✅ RSI 적정 (46.0)']"
471230,국고채10년액티브,KOSPI,배당성장,70,107300.0,6.82,-5.23,-7.35,46.1,"['✅ 변동성 6.8% (매우 안정)', '❌ 변동 큼 (6M -5.2%)', '⚡ 거래 보통', '✅ 낙폭 작음 (-7.3%)', '✅ RSI 적정 (46.1)']"
471780,코리아테크액티브,KOSPI,배당성장,70,24425.0,54.09,94.93,-19.83,52.4,"['❌ 변동성 54.1% (높음)', '✅ 꾸준한 성장 (6M 94.9%)', '⚡ 거래 보통', '✅ 낙폭 작음 (-19.8%)', '✅ RSI 적정 (52.4)']"
473490,글로벌AI반도체,KOSPI,배당성장,70,22150.0,33.35,22.15,-24.37,48.0,"['⚡ 변동성 33.4% (안정)', '✅ 꾸준한 성장 (6M 22.2%)', '⚡ 낙폭 보통 (-24.4%)', '✅ RSI 적정 (48.0)']"
475720,위클리커버드콜,KOSPI,배당성장,70,12330.0,45.05,39.7,-18.4,41.4,"['❌ 변동성 45.0% (높음)', '✅ 꾸준한 성장 (6M 39.7%)', '⚡ 거래 보통', '✅ 낙폭 작음 (-18.4%)', '✅ RSI 적정 (41.4)']"
476030,미국나스닥100,KOSPI,배당성장,70,15400.0,16.48,10.26,-18.35,66.2,"['✅ 변동성 16.5% (매우 안정)', '✅ 꾸준한 성장 (6M 10.3%)', '✅ 낙폭 작음 (-18.4%)']"
476850,배당성장액티브,KOSPI,배당성장,70,18340.0,48.62,62.37,-18.89,45.9,"['❌ 변동성 48.6% (높음)', '✅ 꾸준한 성장 (6M 62.4%)', '⚡ 거래 보통', '✅ 낙폭 작음 (-18.9%)', '✅ RSI 적정 (45.9)']"
