symbol,name,market,strategy,score,price,returns_6m,return_std,from_52w_high,rsi,volume_trend,details
112610,씨에스윈드,KOSPI,퀄리티 적정가,80,56000.0,24.03,4.83,0.0,59.7,1.55,"['✅ 6M 수익 24.0%', '✅ 변동성 낮음 (σ=4.8)', '❌ 52주 고점 대비 0.0%', '✅ 모멘텀 양호 (RSI 59.7, MACD+)', '✅ 관심 증가 (거래량 1.5배)']"
130680,원유선물Enhanced,KOSPI,퀄리티 적정가,80,6585.0,63.68,6.95,-2.3,74.0,3.78,"['✅ 6M 수익 63.7%', '✅ 변동성 낮음 (σ=7.0)', '❌ 52주 고점 대비 -2.3%', '✅ 모멘텀 양호 (RSI 74.0, MACD+)', '✅ 관심 증가 (거래량 3.8배)']"
219390,미국S,KOSPI,퀄리티 적정가,80,7410.0,27.76,5.72,-0.6,63.7,4.2,"['✅ 6M 수익 27.8%', '✅ 변동성 낮음 (σ=5.7)', '❌ 52주 고점 대비 -0.6%', '✅ 모멘텀 양호 (RSI 63.7, MACD+)', '✅ 관심 증가 (거래량 4.2배)']"
225800,미국달러선물레버리지,KOSPI,퀄리티 적정가,80,17520.0,18.35,5.3,0.0,67.3,2.05,"['✅ 6M 수익 18.4%', '✅ 변동성 낮음 (σ=5.3)', '❌ 52주 고점 대비 0.0%', '✅ 모멘텀 양호 (RSI 67.3, MACD+)', '✅ 관심 증가 (거래량 2.1배)']"
256750,차이나심천ChiNext,KOSPI,퀄리티 적정가,80,16145.0,22.13,7.64,0.0,70.6,1.71,"['✅ 6M 수익 22.1%', '✅ 변동성 낮음 (σ=7.6)', '❌ 52주 고점 대비 0.0%', '✅ 모멘텀 양호 (RSI 70.6, MACD+)', '✅ 관심 증가 (거래량 1.7배)']"
261220,원유선물,KOSPI,퀄리티 적정가,80,23560.0,66.68,7.09,-3.6,73.1,4.45,"['✅ 6M 수익 66.7%', '✅ 변동성 낮음 (σ=7.1)', '❌ 52주 고점 대비 -3.6%', '✅ 모멘텀 양호 (RSI 73.1, MACD+)', '✅ 관심 증가 (거래량 4.4배)']"
289480,커버드콜,KOSPI,퀄리티 적정가,80,10470.0,21.22,5.63,0.0,55.7,2.07,"['✅ 6M 수익 21.2%', '✅ 변동성 낮음 (σ=5.6)', '❌ 52주 고점 대비 0.0%', '✅ 모멘텀 양호 (RSI 55.7, MACD+)', '✅ 관심 증가 (거래량 2.1배)']"
438740,마이다스,KOSPI,퀄리티 적정가,80,35800.0,17.94,6.91,-7.77,42.2,1.37,"['✅ 6M 수익 17.9%', '✅ 변동성 낮음 (σ=6.9)', '✅ 52주 고점 대비 -7.8%', '❌ 모멘텀 약함 (RSI 42.2)', '✅ 관심 증가 (거래량 1.4배)']"
439260,대한조선,KOSPI,퀄리티 적정가,80,97100.0,14.24,10.03,-10.67,57.4,1.66,"['⚡ 6M 수익 14.2%', '⚡ 변동성 보통 (σ=10.0)', '✅ 52주 고점 대비 -10.7%', '⚡ 모멘텀 보통 (RSI 57.4)', '✅ 관심 증가 (거래량 1.7배)']"
497780,미국천연가스인프라액티브,KOSPI,퀄리티 적정가,80,11820.0,31.79,6.58,-0.42,64.8,3.02,"['✅ 6M 수익 31.8%', '✅ 변동성 낮음 (σ=6.6)', '❌ 52주 고점 대비 -0.4%', '✅ 모멘텀 양호 (RSI 64.8, MACD+)', '✅ 관심 증가 (거래량 3.0배)']"
070590,한솔인티큐브,KOSDAQ,퀄리티 적정가,78,2045.0,8.09,7.07,-24.26,71.1,1.02,"['⚡ 6M 수익 8.1%', '✅ 변동성 낮음 (σ=7.1)', '⚡ 52주 고점 대비 -24.3%', '✅ 모멘텀 양호 (RSI 71.1, MACD+)', '⚡ 관심 보통 (거래량 1.0배)']"
088280,쏘닉스,KOSDAQ,퀄리티 적정가,78,2585.0,12.15,12.63,-9.46,78.7,2.09,"['⚡ 6M 수익 12.1%', '❌ 변동성 높음 (σ=12.6)', '✅ 52주 고점 대비 -9.5%', '✅ 모멘텀 양호 (RSI 78.7, MACD+)', '✅ 관심 증가 (거래량 2.1배)']"
348350,위드텍,KOSDAQ,퀄리티 적정가,78,9900.0,11.74,5.47,-23.67,51.1,1.29,"['⚡ 6M 수익 11.7%', '✅ 변동성 낮음 (σ=5.5)', '⚡ 52주 고점 대비 -23.7%', '✅ 모멘텀 양호 (RSI 51.1, MACD+)', '⚡ 관심 보통 (거래량 1.3배)']"
056090,시지메드텍,KOSDAQ,퀄리티 적정가,77,2835.0,160.09,43.01,-15.37,48.5,2.05,"['✅ 6M 수익 160.1%', '❌ 변동성 높음 (σ=43.0)', '✅ 52주 고점 대비 -15.4%', '⚡ 모멘텀 보통 (RSI 48.5)', '✅ 관심 증가 (거래량 2.1배)']"
058470,리노공업,KOSDAQ,퀄리티 적정가,77,112000.0,128.34,33.74,-11.81,60.1,1.59,"['✅ 6M 수익 128.3%', '❌ 변동성 높음 (σ=33.7)', '✅ 52주 고점 대비 -11.8%', '⚡ 모멘텀 보통 (RSI 60.1)', '✅ 관심 증가 (거래량 1.6배)']"
064760,티씨케이,KOSDAQ,퀄리티 적정가,77,242500.0,76.88,19.7,-6.73,57.8,1.4,"['✅ 6M 수익 76.9%', '❌ 변동성 높음 (σ=19.7)', '✅ 52주 고점 대비 -6.7%', '⚡ 모멘텀 보통 (RSI 57.8)', '✅ 관심 증가 (거래량 1.4배)']"
079370,제우스,KOSDAQ,퀄리티 적정가,77,17020.0,28.26,11.47,-16.77,49.4,1.18,"['✅ 6M 수익 28.3%', '⚡ 변동성 보통 (σ=11.5)', '✅ 52주 고점 대비 -16.8%', '⚡ 모멘텀 보통 (RSI 49.4)', '⚡ 관심 보통 (거래량 1.2배)']"
093190,빅솔론,KOSDAQ,퀄리티 적정가,77,7650.0,32.58,12.46,-8.93,47.3,1.69,"['✅ 6M 수익 32.6%', '❌ 변동성 높음 (σ=12.5)', '✅ 52주 고점 대비 -8.9%', '⚡ 모멘텀 보통 (RSI 47.3)', '✅ 관심 증가 (거래량 1.7배)']"
106190,하이텍팜,KOSDAQ,퀄리티 적정가,77,16150.0,17.45,11.01,-5.56,45.5,1.04,"['✅ 6M 수익 17.5%', '⚡ 변동성 보통 (σ=11.0)', '✅ 52주 고점 대비 -5.6%', '⚡ 모멘텀 보통 (RSI 45.5)', '⚡ 관심 보통 (거래량 1.0배)']"
222080,씨아이에스,KOSDAQ,퀄리티 적정가,77,13170.0,86.81,32.61,-12.78,51.3,1.5,"['✅ 6M 수익 86.8%', '❌ 변동성 높음 (σ=32.6)', '✅ 52주 고점 대비 -12.8%', '⚡ 모멘텀 보통 (RSI 51.3)', '✅ 관심 증가 (거래량 1.5배)']"
371950,풍원정밀,KOSDAQ,퀄리티 적정가,77,17200.0,47.13,22.05,-10.37,49.8,1.92,"['✅ 6M 수익 47.1%', '❌ 변동성 높음 (σ=22.0)', '✅ 52주 고점 대비 -10.4%', '⚡ 모멘텀 보통 (RSI 49.8)', '✅ 관심 증가 (거래량 1.9배)']"
001510,증권,KOSPI,퀄리티 적정가,77,1727.0,151.75,24.74,-19.67,51.7,1.5,"['✅ 6M 수익 151.7%', '❌ 변동성 높음 (σ=24.7)', '✅ 52주 고점 대비 -19.7%', '⚡ 모멘텀 보통 (RSI 51.7)', '✅ 관심 증가 (거래량 1.5배)']"
005930,삼성전자,KOSPI,퀄리티 적정가,77,183300.0,149.73,43.98,-15.92,47.5,1.36,"['✅ 6M 수익 149.7%', '❌ 변동성 높음 (σ=44.0)', '✅ 52주 고점 대비 -15.9%', '⚡ 모멘텀 보통 (RSI 47.5)', '✅ 관심 증가 (거래량 1.4배)']"
005935,삼성전자우,KOSPI,퀄리티 적정가,77,138300.0,127.09,35.71,-6.99,51.2,1.4,"['✅ 6M 수익 127.1%', '❌ 변동성 높음 (σ=35.7)', '✅ 52주 고점 대비 -7.0%', '⚡ 모멘텀 보통 (RSI 51.2)', '✅ 관심 증가 (거래량 1.4배)']"
009155,삼성전기우,KOSPI,퀄리티 적정가,77,172400.0,102.82,27.75,-9.83,48.7,1.34,"['✅ 6M 수익 102.8%', '❌ 변동성 높음 (σ=27.7)', '✅ 52주 고점 대비 -9.8%', '⚡ 모멘텀 보통 (RSI 48.7)', '✅ 관심 증가 (거래량 1.3배)']"
010820,퍼스텍,KOSPI,퀄리티 적정가,77,8000.0,64.61,16.02,-11.31,54.6,2.71,"['✅ 6M 수익 64.6%', '❌ 변동성 높음 (σ=16.0)', '✅ 52주 고점 대비 -11.3%', '⚡ 모멘텀 보통 (RSI 54.6)', '✅ 관심 증가 (거래량 2.7배)']"
011930,신성이엔지,KOSPI,퀄리티 적정가,77,2240.0,33.81,16.47,-8.76,53.3,1.51,"['✅ 6M 수익 33.8%', '❌ 변동성 높음 (σ=16.5)', '✅ 52주 고점 대비 -8.8%', '⚡ 모멘텀 보통 (RSI 53.3)', '✅ 관심 증가 (거래량 1.5배)']"
014680,한솔케미칼,KOSPI,퀄리티 적정가,77,284000.0,52.36,16.12,-15.98,45.0,1.39,"['✅ 6M 수익 52.4%', '❌ 변동성 높음 (σ=16.1)', '✅ 52주 고점 대비 -16.0%', '⚡ 모멘텀 보통 (RSI 45.0)', '✅ 관심 증가 (거래량 1.4배)']"
091160,반도체,KOSPI,퀄리티 적정가,77,99470.0,136.61,37.57,-5.63,55.0,1.8,"['✅ 6M 수익 136.6%', '❌ 변동성 높음 (σ=37.6)', '✅ 52주 고점 대비 -5.6%', '⚡ 모멘텀 보통 (RSI 55.0)', '✅ 관심 증가 (거래량 1.8배)']"
091230,반도체,KOSPI,퀄리티 적정가,77,104430.0,138.36,38.04,-5.48,55.2,1.36,"['✅ 6M 수익 138.4%', '❌ 변동성 높음 (σ=38.0)', '✅ 52주 고점 대비 -5.5%', '⚡ 모멘텀 보통 (RSI 55.2)', '✅ 관심 증가 (거래량 1.4배)']"
117700,건설,KOSPI,퀄리티 적정가,77,6645.0,63.87,19.95,-5.14,54.4,1.4,"['✅ 6M 수익 63.9%', '❌ 변동성 높음 (σ=19.9)', '✅ 52주 고점 대비 -5.1%', '⚡ 모멘텀 보통 (RSI 54.4)', '✅ 관심 증가 (거래량 1.4배)']"
122090,코스피50,KOSPI,퀄리티 적정가,77,60450.0,90.67,27.39,-12.73,46.9,2.06,"['✅ 6M 수익 90.7%', '❌ 변동성 높음 (σ=27.4)', '✅ 52주 고점 대비 -12.7%', '⚡ 모멘텀 보통 (RSI 46.9)', '✅ 관심 증가 (거래량 2.1배)']"
126720,수산인더스트리,KOSPI,퀄리티 적정가,77,27400.0,21.78,10.02,-7.74,45.1,1.16,"['✅ 6M 수익 21.8%', '⚡ 변동성 보통 (σ=10.0)', '✅ 52주 고점 대비 -7.7%', '⚡ 모멘텀 보통 (RSI 45.1)', '⚡ 관심 보통 (거래량 1.2배)']"
139220,건설,KOSPI,퀄리티 적정가,77,7300.0,68.59,21.01,-9.54,51.2,1.72,"['✅ 6M 수익 68.6%', '❌ 변동성 높음 (σ=21.0)', '✅ 52주 고점 대비 -9.5%', '⚡ 모멘텀 보통 (RSI 51.2)', '✅ 관심 증가 (거래량 1.7배)']"
140950,파워,KOSPI,퀄리티 적정가,77,64505.0,83.9,25.48,-12.81,46.0,1.69,"['✅ 6M 수익 83.9%', '❌ 변동성 높음 (σ=25.5)', '✅ 52주 고점 대비 -12.8%', '⚡ 모멘텀 보통 (RSI 46.0)', '✅ 관심 증가 (거래량 1.7배)']"
147970,모멘텀,KOSPI,퀄리티 적정가,77,67025.0,40.09,12.86,-9.89,45.8,1.31,"['✅ 6M 수익 40.1%', '❌ 변동성 높음 (σ=12.9)', '✅ 52주 고점 대비 -9.9%', '⚡ 모멘텀 보통 (RSI 45.8)', '✅ 관심 증가 (거래량 1.3배)']"
153270,코스피100,KOSPI,퀄리티 적정가,77,63550.0,84.19,25.41,-13.43,46.8,1.87,"['✅ 6M 수익 84.2%', '❌ 변동성 높음 (σ=25.4)', '✅ 52주 고점 대비 -13.4%', '⚡ 모멘텀 보통 (RSI 46.8)', '✅ 관심 증가 (거래량 1.9배)']"
159800,마이티,KOSPI,퀄리티 적정가,77,65600.0,83.45,25.34,-12.79,46.7,1.55,"['✅ 6M 수익 83.4%', '❌ 변동성 높음 (σ=25.3)', '✅ 52주 고점 대비 -12.8%', '⚡ 모멘텀 보통 (RSI 46.7)', '✅ 관심 증가 (거래량 1.6배)']"
183710,주식혼합,KOSPI,퀄리티 적정가,77,74840.0,53.4,16.11,-10.54,46.1,2.42,"['✅ 6M 수익 53.4%', '❌ 변동성 높음 (σ=16.1)', '✅ 52주 고점 대비 -10.5%', '⚡ 모멘텀 보통 (RSI 46.1)', '✅ 관심 증가 (거래량 2.4배)']"
226490,코스피,KOSPI,퀄리티 적정가,77,57260.0,64.97,19.87,-11.99,45.6,1.53,"['✅ 6M 수익 65.0%', '❌ 변동성 높음 (σ=19.9)', '✅ 52주 고점 대비 -12.0%', '⚡ 모멘텀 보통 (RSI 45.6)', '✅ 관심 증가 (거래량 1.5배)']"
227830,코스피,KOSPI,퀄리티 적정가,77,57525.0,64.61,19.83,-12.07,45.9,2.01,"['✅ 6M 수익 64.6%', '❌ 변동성 높음 (σ=19.8)', '✅ 52주 고점 대비 -12.1%', '⚡ 모멘텀 보통 (RSI 45.9)', '✅ 관심 증가 (거래량 2.0배)']"
233740,코스닥150레버리지,KOSPI,퀄리티 적정가,77,16700.0,70.15,23.26,-19.25,45.2,1.69,"['✅ 6M 수익 70.1%', '❌ 변동성 높음 (σ=23.3)', '✅ 52주 고점 대비 -19.2%', '⚡ 모멘텀 보통 (RSI 45.2)', '✅ 관심 증가 (거래량 1.7배)']"
237350,코스피100,KOSPI,퀄리티 적정가,77,66000.0,84.28,25.45,-12.57,46.6,2.05,"['✅ 6M 수익 84.3%', '❌ 변동성 높음 (σ=25.4)', '✅ 52주 고점 대비 -12.6%', '⚡ 모멘텀 보통 (RSI 46.6)', '✅ 관심 증가 (거래량 2.0배)']"
261070,코스닥150바이오테크,KOSPI,퀄리티 적정가,77,20455.0,19.13,8.69,-8.95,49.3,1.01,"['✅ 6M 수익 19.1%', '⚡ 변동성 보통 (σ=8.7)', '✅ 52주 고점 대비 -8.9%', '⚡ 모멘텀 보통 (RSI 49.3)', '⚡ 관심 보통 (거래량 1.0배)']"
