symbol,name,market,price,strategies_count,s1_top20,s2_turnaround,s3_momentum,s4_breakout,s5_ma200,s1_value,s2_value,s3_value,s4_value,s5_value
053620,태양,KOSDAQ,6870.0,2,False,True,False,False,True,51049011.5,10.096153846153854,48.96551724137932,38623140.0,4.3359404662464796
053700,삼보모터스,KOSDAQ,6560.0,2,True,False,False,False,True,7162557382.0,65.86599241466497,32.13572854291418,1777130240.0,31.79902657578697
054090,삼진엘앤디,KOSDAQ,765.0,2,False,True,True,False,False,284018679.0,21.81528662420382,58.67237687366166,60846570.0,-4.9795675017699885
054410,케이피티유,KOSDAQ,3550.0,2,False,True,True,False,False,68996528.25,13.05732484076434,52.84552845528455,89481300.0,-0.7881057514951606
054540,삼영엠텍,KOSDAQ,12140.0,2,True,False,False,False,True,6413132434.5,17.864077669902922,33.4975369458128,1505092920.0,7.895286469095653
054800,아이디스홀딩스,KOSDAQ,15350.0,2,False,True,False,False,True,641767772.0,34.64912280701755,51.37614678899082,382568050.0,28.525556490540605
054920,한컴위드,KOSDAQ,4425.0,2,True,False,False,False,True,2642318758.75,16.600790513833985,36.223506743737964,1048455075.0,2.0537598450166783
056080,유진로봇,KOSDAQ,27700.0,2,True,False,False,False,True,47532693672.5,100.0,32.45614035087719,9935214400.0,73.67097813751981
056190,에스에프에이,KOSDAQ,28400.0,2,True,False,False,False,True,5032191242.5,22.67818574514038,37.175792507204605,2441093600.0,14.54384125191579
056360,코위버,KOSDAQ,6380.0,2,True,False,True,False,False,1323294726.25,40.528634361233486,61.08179419525066,2140317740.0,17.825219768043144
057680,티사이언티픽,KOSDAQ,666.0,2,False,True,True,False,False,239677886.15,14.827586206896548,51.61290322580645,210122334.0,-33.346343806764445
058110,멕아이씨에스,KOSDAQ,1774.0,2,False,True,True,False,False,215147092.15,19.380888290713315,50.76923076923077,136961670.0,-12.763823049233858
059100,아이컴포넌트,KOSDAQ,5570.0,2,True,False,False,False,True,1235403711.25,20.04310344827587,33.59872611464968,213615070.0,7.629730539211432
059270,해성에어로보틱스,KOSDAQ,10500.0,2,True,False,False,False,True,3676601485.5,26.201923076923084,35.180412371134025,902548500.0,25.442783157215644
060280,큐렉소,KOSDAQ,14930.0,2,True,False,False,False,True,13072897053.5,23.90041493775934,36.67861409796894,4319263930.0,29.50457776563402
063170,서울옥션,KOSDAQ,7990.0,2,True,True,False,False,False,2836932882.0,17.84660766961652,40.33057851239669,829737530.0,-0.8377288240769443
064550,바이오니아,KOSDAQ,12130.0,2,True,True,False,False,False,1498512302.0,15.194681861348535,44.4954128440367,667695850.0,-13.503260563405384
064820,케이프,KOSDAQ,10990.0,2,True,False,False,False,True,2953942449.0,19.068255687973988,34.378920953575914,1777643490.0,10.428954692979374
065440,이루온,KOSDAQ,2435.0,2,True,False,True,False,False,5299026311.1,101.73985086992543,81.91624365482234,17276332305.0,50.213599420119984
065510,휴비츠,KOSDAQ,8760.0,2,True,False,False,False,True,1544259337.0,9.499999999999996,36.666666666666664,859960440.0,2.181266767759249
066430,아이로보틱스,KOSDAQ,2390.0,2,True,False,False,False,True,3043420149.25,74.45255474452554,38.68613138686131,866659410.0,44.03056581714748
066980,한성크린텍,KOSDAQ,1484.0,2,True,False,True,False,False,2057665868.35,29.04347826086957,62.832800851970184,1526524020.0,10.45817066680561
067080,대화제약,KOSDAQ,14900.0,2,True,True,False,False,False,2934860985.0,17.786561264822144,47.46113989637306,1595924100.0,-6.045262221998026
067290,신약,KOSDAQ,2015.0,2,True,False,False,False,True,4369523854.4,41.007697690692794,30.33175355450237,718198390.0,23.148569734787493
067390,아스트,KOSDAQ,790.0,2,True,False,False,False,True,4313270536.15,37.87085514834205,32.95711060948081,987154770.0,31.422439965730355
067630,생명과학,KOSDAQ,3765.0,2,True,True,False,False,False,1589537244.25,12.72455089820359,44.84848484848485,853254420.0,-12.625752776133957
067900,와이엔텍,KOSDAQ,6940.0,2,True,False,False,False,True,1601258613.0,9.119496855345922,39.716312056737586,396725100.0,4.03471821432051
067920,이글루,KOSDAQ,6050.0,2,False,False,True,False,True,514455498.0,20.517928286852595,77.21518987341771,348588900.0,10.433703271028039
068760,셀트리온제약,KOSDAQ,60500.0,2,True,False,False,False,True,11210770790.0,4.8526863084922045,25.083612040133787,3860081500.0,5.16567722567729
068930,디지털대성,KOSDAQ,8860.0,2,False,True,False,False,True,522908672.5,17.040951122853375,54.9222797927461,156449880.0,13.731908475337761
071200,인피니트헬스케어,KOSDAQ,6810.0,2,False,True,False,False,True,564070303.0,21.607142857142847,51.35135135135135,382299780.0,5.863451692610466
