symbol,name,market,strategy,score,price,pb_proxy,volume_ratio,returns_3m,rsi,ma_aligned,checks
080580,오킨스전자,KOSDAQ,그레이엄 순유동자산,60,18970.0,4.43,1.08,86.16,56.8,True,"['❌ 52주 저가 대비 4.43', '⚡ 거래량 1.1배', '✅ 3M 수익 86.2%', '✅ RSI 56.8', '✅ 정배열']"
083650,비에이치아이,KOSDAQ,그레이엄 순유동자산,60,101500.0,6.56,1.11,58.1,57.8,True,"['❌ 52주 저가 대비 6.56', '⚡ 거래량 1.1배', '✅ 3M 수익 58.1%', '✅ RSI 57.8', '✅ 정배열']"
083790,인바이츠,KOSDAQ,그레이엄 순유동자산,60,1381.0,1.13,0.49,-13.14,57.7,True,"['✅ 52주 저가 대비 1.13', '❌ 3M 수익 -13.1%', '✅ RSI 57.7', '✅ 정배열']"
096690,에이루트,KOSDAQ,그레이엄 순유동자산,60,1196.0,1.0,2.2,-39.9,22.6,False,"['✅ 52주 저가 대비 1.00', '✅ 거래량 2.2배', '❌ 3M 수익 -39.9%', '⚡ RSI 22.6 (과매도)', '❌ 역배열/혼조']"
112290,와이씨켐,KOSDAQ,그레이엄 순유동자산,60,26850.0,1.55,1.16,29.4,54.0,True,"['❌ 52주 저가 대비 1.55', '⚡ 거래량 1.2배', '✅ 3M 수익 29.4%', '✅ RSI 54.0', '✅ 정배열']"
117670,알파칩스,KOSDAQ,그레이엄 순유동자산,60,19800.0,3.2,1.08,127.32,57.5,True,"['❌ 52주 저가 대비 3.20', '⚡ 거래량 1.1배', '✅ 3M 수익 127.3%', '✅ RSI 57.5', '✅ 정배열']"
126340,비나텍,KOSDAQ,그레이엄 순유동자산,60,138500.0,6.66,1.33,78.17,59.8,True,"['❌ 52주 저가 대비 6.66', '⚡ 거래량 1.3배', '✅ 3M 수익 78.2%', '✅ RSI 59.8', '✅ 정배열']"
130740,티피씨글로벌,KOSDAQ,그레이엄 순유동자산,60,2135.0,1.3,0.51,16.41,49.8,True,"['⚡ 52주 저가 대비 1.30', '⚡ 3M 수익 16.4%', '✅ RSI 49.8', '✅ 정배열']"
131970,두산테스나,KOSDAQ,그레이엄 순유동자산,60,72800.0,3.29,1.17,66.02,57.9,True,"['❌ 52주 저가 대비 3.29', '⚡ 거래량 1.2배', '✅ 3M 수익 66.0%', '✅ RSI 57.9', '✅ 정배열']"
134060,이퓨쳐,KOSDAQ,그레이엄 순유동자산,60,3710.0,1.0,1.66,-11.14,28.9,False,"['✅ 52주 저가 대비 1.00', '✅ 거래량 1.7배', '❌ 3M 수익 -11.1%', '⚡ RSI 28.9 (과매도)', '❌ 역배열/혼조']"
141080,리가켐바이오,KOSDAQ,그레이엄 순유동자산,60,201000.0,2.25,1.25,14.07,58.5,True,"['❌ 52주 저가 대비 2.25', '⚡ 거래량 1.3배', '✅ 3M 수익 14.1%', '✅ RSI 58.5', '✅ 정배열']"
173940,에프엔씨엔터,KOSDAQ,그레이엄 순유동자산,60,3800.0,1.37,1.68,1.88,60.3,False,"['⚡ 52주 저가 대비 1.37', '✅ 거래량 1.7배', '✅ 3M 수익 1.9%', '❌ RSI 60.3', '❌ 역배열/혼조']"
183300,코미코,KOSDAQ,그레이엄 순유동자산,60,111500.0,2.26,1.1,29.95,51.3,True,"['❌ 52주 저가 대비 2.26', '⚡ 거래량 1.1배', '✅ 3M 수익 30.0%', '✅ RSI 51.3', '✅ 정배열']"
199820,제일일렉트릭,KOSDAQ,그레이엄 순유동자산,60,10270.0,1.42,0.53,9.61,43.8,True,"['⚡ 52주 저가 대비 1.42', '⚡ 3M 수익 9.6%', '✅ RSI 43.8', '✅ 정배열']"
204630,스튜디오산타클로스,KOSDAQ,그레이엄 순유동자산,60,662.0,1.0,2.53,-85.76,1.9,False,"['✅ 52주 저가 대비 1.00', '✅ 거래량 2.5배', '❌ 3M 수익 -85.8%', '⚡ RSI 1.9 (과매도)', '❌ 역배열/혼조']"
213420,덕산네오룩스,KOSDAQ,그레이엄 순유동자산,60,47600.0,2.01,1.14,20.81,56.2,True,"['❌ 52주 저가 대비 2.01', '⚡ 거래량 1.1배', '✅ 3M 수익 20.8%', '✅ RSI 56.2', '✅ 정배열']"
222810,세토피아,KOSDAQ,그레이엄 순유동자산,60,15.0,1.0,2.34,-99.72,0.0,False,"['✅ 52주 저가 대비 1.00', '✅ 거래량 2.3배', '❌ 3M 수익 -99.7%', '⚡ RSI 0.0 (과매도)', '❌ 역배열/혼조']"
237750,피앤씨테크,KOSDAQ,그레이엄 순유동자산,60,4840.0,1.36,0.3,19.95,48.7,True,"['⚡ 52주 저가 대비 1.36', '⚡ 3M 수익 20.0%', '✅ RSI 48.7', '✅ 정배열']"
