code,name,signal_date,entry_date,entry_price,exit_price,return,days,reason,scan_close
388870,파로스아이바이오,2026-03-03,2026-03-05,7710.0,8481.0,10.0,1,take_profit,8460.0
389030,지니너스,2026-03-03,2026-03-05,3100.0,3410.0000000000005,10.0,1,take_profit,3405.0
389470,인벤티지랩,2026-03-03,2026-03-05,85300.0,93830.00000000001,10.0,1,take_profit,91000.0
389500,에스비비테크,2026-03-03,2026-03-05,50000.0,55000.00000000001,10.0,1,take_profit,56300.0
414270,Stock,2026-03-03,2026-03-05,12405.0,13145.0,5.965336557839581,5,time_exit,13135.0
418660,Stock,2026-03-03,2026-03-05,33640.0,33830.0,0.5648038049940547,5,time_exit,33255.0
419430,Stock,2026-03-03,2026-03-05,11365.0,12205.0,7.391113066432029,5,time_exit,11585.0
429980,Stock,2026-03-03,2026-03-05,15390.0,16095.0,4.580896686159844,5,time_exit,16190.0
433970,Stock,2026-03-03,2026-03-05,13640.0,13635.0,-0.036656891495601175,5,time_exit,13720.0
433980,Stock,2026-03-03,2026-03-05,15340.0,15300.0,-0.2607561929595828,5,time_exit,15440.0
444490,Stock,2026-03-03,2026-03-05,18975.0,18880.0,-0.5006587615283268,5,time_exit,18960.0
445680,큐리옥스바이오시스템즈,2026-03-03,2026-03-05,98400.0,108240.00000000001,10.0,1,take_profit,109500.0
453630,Stock,2026-03-03,2026-03-05,13395.0,13060.0,-2.5009331840238893,5,time_exit,13615.0
459750,Stock,2026-03-03,2026-03-05,17190.0,17145.0,-0.2617801047120419,5,time_exit,17450.0
463300,Stock,2026-03-03,2026-03-05,13580.0,13845.0,1.95139911634757,5,time_exit,13855.0
464490,쿼드메디슨,2026-03-03,2026-03-05,15400.0,14630.0,-5.0,2,stop_loss,17140.0
468530,프로티나,2026-03-03,2026-03-05,67200.0,73920.0,10.0,1,take_profit,77400.0
469900,하나31호스팩,2026-03-03,2026-03-05,2085.0,2100.0,0.7194244604316548,5,time_exit,2095.0
476000,Stock,2026-03-03,2026-03-05,11130.0,12243.000000000002,10.0,1,take_profit,12315.0
476030,Stock,2026-03-03,2026-03-05,15330.0,15395.0,0.42400521852576645,5,time_exit,15220.0
476830,알지노믹스,2026-03-03,2026-03-05,125000.0,137500.0,10.0,1,take_profit,148100.0
480030,Stock,2026-03-03,2026-03-05,10396.0,10495.0,0.9522893420546364,5,time_exit,10411.0
486290,Stock,2026-03-03,2026-03-05,10144.0,10203.0,0.5816246056782335,5,time_exit,10045.0
487950,Stock,2026-03-03,2026-03-05,9917.0,10414.0,5.011596248865584,5,time_exit,10290.0
488500,Stock,2026-03-03,2026-03-05,12420.0,12145.0,-2.214170692431562,5,time_exit,12505.0
494420,Stock,2026-03-03,2026-03-05,9490.0,9480.0,-0.10537407797681769,5,time_exit,9529.0
494840,Stock,2026-03-03,2026-03-05,14720.0,16192.000000000002,10.0,2,take_profit,16135.0
